 Move,T,E,Acceptance,<r_12>
       0, 6.46249E-02, 6.57242E+02, 0.00000E+00,   1.600
      38, 6.39353E-02, 6.54825E+02, 3.68421E+01,   1.600
      76, 6.32348E-02, 6.55493E+02, 4.34211E+01,   1.600
     114, 6.25419E-02, 6.55696E+02, 3.42105E+01,   1.600
     152, 6.18566E-02, 6.54427E+02, 3.15789E+01,   1.600
     190, 6.11789E-02, 6.54656E+02, 3.26316E+01,   1.600
     228, 6.05085E-02, 6.55034E+02, 3.15789E+01,   1.600
     266, 5.98455E-02, 6.53684E+02, 3.15789E+01,   1.600
     304, 5.91898E-02, 6.53714E+02, 3.09211E+01,   1.600
     342, 5.85412E-02, 6.53061E+02, 3.12865E+01,   1.600
     380, 5.78998E-02, 6.53085E+02, 3.15789E+01,   1.600
     418, 5.72654E-02, 6.41613E+02, 3.22966E+01,   1.600
     456, 5.66379E-02, 6.41948E+02, 3.20175E+01,   1.600
     494, 5.60173E-02, 6.42181E+02, 3.40081E+01,   1.600
     532, 5.54035E-02, 6.42629E+02, 3.42105E+01,   1.600
     570, 5.47964E-02, 6.36210E+02, 3.33333E+01,   1.600
     608, 5.41960E-02, 6.30573E+02, 3.27303E+01,   1.600
     646, 5.36022E-02, 6.30645E+02, 3.28173E+01,   1.600
     684, 5.30149E-02, 6.30770E+02, 3.20175E+01,   1.600
     722, 5.24340E-02, 6.30855E+02, 3.18560E+01,   1.600
     760, 5.18594E-02, 6.30969E+02, 3.18421E+01,   1.600
     798, 5.12912E-02, 6.14918E+02, 3.23308E+01,   1.600
     836, 5.07292E-02, 6.15146E+02, 3.22966E+01,   1.600
     874, 5.01733E-02, 6.14252E+02, 3.24943E+01,   1.600
     912, 4.96236E-02, 6.14204E+02, 3.23465E+01,   1.600
     950, 4.90799E-02, 6.13518E+02, 3.24211E+01,   1.600
     988, 4.85421E-02, 6.13628E+02, 3.23887E+01,   1.600
    1026, 4.80102E-02, 6.13715E+02, 3.21637E+01,   1.600
    1064, 4.74841E-02, 6.13774E+02, 3.23308E+01,   1.600
    1102, 4.69638E-02, 6.13913E+02, 3.25771E+01,   1.600
    1140, 4.64493E-02, 6.13814E+02, 3.28070E+01,   1.600
    1178, 4.59403E-02, 6.13934E+02, 3.28523E+01,   1.600
    1216, 4.54369E-02, 6.14236E+02, 3.27303E+01,   1.600
    1254, 4.49391E-02, 6.14132E+02, 3.23764E+01,   1.600
    1292, 4.44467E-02, 6.14198E+02, 3.22755E+01,   1.600
    1330, 4.39596E-02, 6.12744E+02, 3.24060E+01,   1.600
    1368, 4.34780E-02, 6.12799E+02, 3.23830E+01,   1.600
    1406, 4.30016E-02, 6.12629E+02, 3.22902E+01,   1.600
    1444, 4.25304E-02, 6.12786E+02, 3.21330E+01,   1.600
    1482, 4.20644E-02, 6.06429E+02, 3.23212E+01,   1.600
    1520, 4.16035E-02, 6.03197E+02, 3.22368E+01,   1.600
    1558, 4.11476E-02, 5.98658E+02, 3.26059E+01,   1.600
    1596, 4.06968E-02, 5.98697E+02, 3.25188E+01,   1.600
    1634, 4.02508E-02, 5.98761E+02, 3.24969E+01,   1.600
    1672, 3.98098E-02, 5.99005E+02, 3.25359E+01,   1.600
    1710, 3.93736E-02, 5.99003E+02, 3.23977E+01,   1.600
    1748, 3.89422E-02, 5.99168E+02, 3.22082E+01,   1.600
    1786, 3.85155E-02, 5.99092E+02, 3.25308E+01,   1.600
    1824, 3.80935E-02, 5.98855E+02, 3.25110E+01,   1.600
    1862, 3.76761E-02, 5.98748E+02, 3.25457E+01,   1.600
    1900, 3.72632E-02, 5.98647E+02, 3.26842E+01,   1.600
    1938, 3.68549E-02, 5.93850E+02, 3.28689E+01,   1.600
    1976, 3.64511E-02, 5.86856E+02, 3.27935E+01,   1.600
    2014, 3.60517E-02, 5.84384E+02, 3.29196E+01,   1.600
    2052, 3.56567E-02, 5.81202E+02, 3.28947E+01,   1.600
    2090, 3.52660E-02, 5.81016E+02, 3.28230E+01,   1.600
    2128, 3.48796E-02, 5.81143E+02, 3.26128E+01,   1.600
    2166, 3.44974E-02, 5.79969E+02, 3.25946E+01,   1.600
    2204, 3.41194E-02, 5.79655E+02, 3.26225E+01,   1.600
    2242, 3.37455E-02, 5.79500E+02, 3.25156E+01,   1.600
